Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G0_W2_1766903499.pt,0.8464991575867277,0.017819122442052627,0.07628262024577243,0.7050307143957371,0.517532665171386,7.154481887428492e-180,0.16071616947519748,0.5295337696576975,0.5959277319466598,0.3815246280277104,0.7281728468888173,0.9741411389715593,0.2474659847615508,4.0248900794050066e-28,0.3051654191981834,4
G0_W2_1766905464.pt,0.03916975579393443,0.000714976017983197,0.367738630288567,0.003396269355459485,0.1431535577475617,0.0,0.27557016669261725,0.49093190136596365,0.4470119673240506,0.09629449908132855,0.28735906020413016,0.39280380409615234,0.9950992494759956,7.304037681872945e-13,0.15928693361160873,8
G0_W2_919.pt,0.06961538272680991,0.4583619701863779,0.3234641921581488,9.426807859477949e-05,0.6974182473467194,5.1932277274478995e-303,0.03600263794211946,0.6665175956247914,0.16025816131475656,0.2944591704391624,0.9886786748793931,0.9874497693326661,0.981401324607266,1.0,1.0,4
G0_W3_1766893035.pt,0.9788020745567563,0.239314933956837,0.3589722581327589,0.7176727161927934,0.5074120328739775,1.563076098307626e-104,0.6719506955844532,0.25238221193355137,0.8320840357024331,0.058026208942210826,0.5021463309563438,0.21636670870776187,0.5206371409239765,7.41017162266365e-60,0.23987681155759777,7
G0_W3_1766897737.pt,0.01950695539547787,0.5869858064156777,0.4347900392401971,0.010148459744303276,0.22218099371761038,2.3276662251016453e-122,0.8750194307669585,0.3376292524563153,0.7540138962805716,0.9774542340440202,0.9090074116733114,0.9669187689308562,0.9995413583154558,5.847347751194412e-31,0.0021186530775915654,8
G0_W3_1766899705.pt,0.022012699017803623,0.4980229866612337,0.36993002652152895,0.8362142261038443,0.6098130162978119,3.648256037736048e-245,0.9893862259323616,0.24493489482067002,0.08789329021476983,0.5266852843357821,0.2003491592412413,0.3510727853410488,0.998690485362558,1.0,1.0,5
G0_W3_1766899739.pt,0.0037465802538259783,0.04109016747621326,0.49620961141600617,0.0206791945280089,0.05557972040192683,1.0069822377881967e-22,0.36065645469396,0.9033912140240052,0.8498933690336099,0.182010075342633,0.2794889478021291,0.6960216735297065,0.9999511890707627,1.0,1.0,9
G0_W3_1766902910.pt,0.1662937292854536,0.15112209231856016,0.522880499835745,0.07687566466321362,0.15698555156312863,7.873194781052203e-126,0.38723687628067727,0.7703103693942708,0.13513787306168495,0.9984145613747657,0.33956000178836687,0.21401820663376606,0.9631137996574507,1.0,1.0,4
G0_W3_1766903678.pt,0.12115051526459271,0.001646807377439022,0.46318893878075806,0.285335174343078,0.6678207596304031,7.322446866143738e-129,0.2726331166087108,0.649927975064202,0.6110643711601644,0.02144639137959734,0.6819163690770629,0.702503534729052,0.971471730660093,1.0,1.0,4
G0_W3_371.pt,0.7681396417094389,0.1423557234022343,0.3036610748791798,0.32363568741674054,0.5069493305408186,6.895690897501149e-185,0.3611797008719252,0.5550200611056033,0.06480391495164246,0.8144601185955338,0.42480610663259927,0.22298225272772515,0.6690346247353459,2.1692626283721095e-19,0.0003677995270142331,8
G0_W3_69.pt,0.07545115138907554,0.27619424555417804,0.006816187827093143,0.22424282080973715,0.9387189309677864,5.542679983584769e-113,0.1272675309401536,0.1872793165790952,0.15998724146962806,0.7308160745324046,0.46257503049491344,0.819998027318033,0.9949966748286888,1.0,1.0,6
G0_W3_779.pt,0.8743311640126237,0.07410656657849979,0.46688955423381273,0.3085145633388699,0.46749672732679115,3.4088439119236036e-247,0.9490845765563953,0.5238649511192851,0.9969442769675637,0.895327417420037,0.08312555924847859,0.14380932951255515,0.2324662134620774,1.8134276352473407e-52,0.07872609091204823,6
